readcode,medcode,readterm,icdcode
BB5S200,34015,[m]bronchiolo-alveolar adenocarcinoma,C34
BB5S211,36530,[m]alveolar cell carcinoma,C34
BB5S212,16723,[m]bronchiolar carcinoma,C34
BB5S400,57802,[m]alveolar adenocarcinoma,C34
BB5T100,35348,[m]papillary adenocarcinoma nos,C80
BB5U100,67342,[m]adenocarcinoma in villous adenoma,C80
BB5U200,27849,[m]villous adenocarcinoma,C80
BB5V100,68456,[m]chromophobe carcinoma,C75
BB5V311,36876,[m]eosinophil carcinoma,C75
BB5V700,72277,[m]basophil carcinoma,C75
BB5V711,40622,[m]mucoid cell carcinoma,C75
BB5W100,71497,[m]oxyphilic adenocarcinoma,C80
BB5W111,29008,[m]hurthle cell adenocarcinoma,C80
BB5W112,53129,[m]oncytic adenocarcinoma,C80
BB5X100,37354,[m]clear cell adenocarcinoma nos,C80
BB5a000,10668,[m]renal cell carcinoma,C64
BB5a011,52266,[m]grawitz tumour,C64
BB5a012,15419,[m]hypernephroma,C64
BB5b.00,34096,[m]granular cell carcinoma,C80
BB5f100,21741,[m]follicular adenocarcinoma nos,C73
BB5f111,21847,[m]follicular carcinoma,C73
BB5f200,59918,"[m]follicular adenocarcinoma, well differentiated type",C73
BB5f300,61467,"[m]follicular adenocarcinoma, trabecular type",C73
BB5f600,46761,[m]papillary and follicular adenocarcinoma,C73
BB5f700,68757,[m]nonencapsulated sclerosing carcinoma,C73
BB5h100,60775,[m]adrenal cortical carcinoma,C74
BB5j200,9447,[m]endometrioid carcinoma,C56
BB5j500,103034,"[m]endometrioid adenofibroma, malignant",C56
BB5y000,16902,[m]basal cell adenocarcinoma,C08
BB5y100,61764,[m]vipoma,C80
BB5y200,49900,[m]klatskin's tumour,C22
BB60100,68783,[m]skin appendage carcinoma,C44
BB61200,71627,[m]sweat gland adenocarcinoma,C44
BB62100,38575,[m]apocrine adenocarcinoma,C44
BB69100,34269,[m]sebaceous adenocarcinoma,C44
BB71.00,28625,[m]mucoepidermoid carcinoma,C80
BB80100,34000,[m]cystadenocarcinoma nos,C80
BB80200,69978,[m]borderline mucinous cystadenoma of the ovary,C56
BB81100,52263,"[m]serous cystadenoma, borderline malignancy",C56
BB81200,38442,"[m]serous cystadenocarcinoma, nos",C56
BB81400,98696,"[m]papillary cystadenoma, borderline malignancy",C56
BB81500,65051,"[m]papillary cystadenocarcinoma, nos",C56
BB81800,44930,[m]papillary serous cystadenocarcinoma,C56
BB81B00,95150,[m]serous surface papillary carcinoma,C56
BB81D00,28396,"[m]mucinous cystadenoma, borderline malignancy",C56
BB81E00,51656,[m]mucinous cystadenocarcinoma nos,C56
BB81E11,66876,[m]pseudomucinous adenocarcinoma,C56
BB81H00,54749,[m]papillary mucinous cystadenocarcinoma,C56
BB81J00,21131,"[m]serous cystadenoma, borderline malignancy",C56
BB81K00,46113,"[m]papillary cystadenoma, borderline malignancy",C56
BB81M00,6203,"[m]papillary serous cystadenoma, borderline malignancy",C56
BB82100,12497,[m]mucinous adenocarcinoma,C80
BB82111,30416,[m]colloid adenocarcinoma,C80
BB82112,95008,[m]gelatinous adenocarcinoma,C80
BB82113,55429,[m]mucoid adenocarcionoma,C80
BB82114,59284,[m]mucous adenocarcinoma,C80
BB83.00,17098,[m]pseudomyxoma peritonei,C78
BB84.00,44074,[m]mucin-producing adenocarcinoma,C80
BB85.00,39038,[m]signet ring carcinoma,C80
BB85000,61588,[m]signet ring cell carcinoma,C80
BB85100,54874,[m]metastatic signet ring cell carcinoma,C79
BB85111,53694,[m]krukenberg tumour,C79
BB85z00,94438,[m]signet ring carcinoma nos,C80
BB91.00,8351,[m]infiltrating duct carcinoma,C50
BB91.11,21833,[m]duct carcinoma nos,C80
BB91000,30189,[m]intraductal papillary adenocarcinoma with invasion,C50
BB91100,39760,[m]infiltrating duct and lobular carcinoma,C50
BB93.00,58131,[m]comedocarcinoma nos,C50
BB94.00,40359,[m]juvenile breast carcinoma,C50
BB94.11,67701,[m]secretory breast carcinoma,C50
BB9B.00,16677,[m]medullary carcinoma nos,C80
BB9B.11,47920,[m]c cell carcinoma,C73
BB9C.00,50946,[m]medullary carcinoma with amyloid stroma,C73
BB9D.00,98883,[m]medullary carcinoma with lymphoid stroma,C50
BB9F.00,12427,[m]lobular carcinoma nos,C50
BB9G.00,7319,[m]infiltrating ductular carcinoma,C50
BB9H.00,32472,[m]inflammatory carcinoma,C50
BB9J.00,12300,"[m]paget's disease, mammary",C50
BB9J.11,60803,"[m]paget's disease, breast",C50
BB9K.00,42542,[m]paget's disease and infiltrating breast duct carcinoma,C50
BB9K000,12480,[m]paget's disease and intraductal carcinoma of breast,C50
BB9L.00,24523,"[m]paget's disease, extramammary, exc paget's disease bone",C80
BB9M.00,3969,[m]intracystic carcinoma nos,C39
BBA2.00,37688,[m]acinar cell carcinoma,C80
BBB0.00,12580,[m]adenosquamous carcinoma,C80
BBB2.00,16146,[m]adenocarcinoma with squamous metaplasia,C80
BBB2.11,8524,[m]adenoacanthoma,C80
BBB3.00,42553,[m]adenocarcinoma with cartilaginous and osseous metaplasia,C80
BBB4.00,94810,[m]adenocarcinoma with spindle cell metaplasia,C80
BBB5.00,66000,[m]adenocarcinoma with apocrine metaplasia,C80
BBB6100,59415,"[m]thymoma, malignant",C37
BBB7.00,38770,[m]epithelial-myoepithelial carcinoma,C80
BBC4.00,31609,"[m]granulosa cell tumour, malignant",C56
BBCA.00,29580,[m]sertoli cell carcinoma,C62
BBCC100,95373,"[m]leydig cell tumour, malignant",C62
BBD1.00,95818,"[m]paraganglioma, malignant",C80
BBDA.00,65047,"[m]phaeochromocytoma, malignant",C74
BBDA.11,106613,[m]phaeochromoblastoma,C74
BBDB.00,50605,[m]glomangiosarcoma,C80
BBDB.11,105166,[m]glomoid sarcoma,C49
BBE1.00,579,[m]malignant melanoma nos,C43
BBE1.11,24551,[m]melanocarcinoma,C43
BBE1.13,44157,[m]melanosarcoma nos,C43
BBE1.14,67966,[m]naevocarcinoma,C43
BBE1000,51353,"[m]malignant melanoma, regressing",C43
BBE1100,58835,"[m]desmoplastic melanoma, malignant",C43
BBE2.00,20982,[m]nodular melanoma,C43
BBE4.00,68889,[m]balloon cell melanoma,C43
BBEA.00,17232,[m]amelanotic melanoma,C43
BBEC.00,63574,[m]malignant melanoma in junctional naevus,C43
BBEG.00,62088,[m]malignant melanoma in hutchinson's melanotic freckle,C43
BBEG.11,11922,[m]lentigo maligna melanoma,C43
BBEG000,22692,"[m]acral lentiginous melanoma, malignant",C43
BBEH.00,24208,[m]superficial spreading melanoma,C43
BBEM.00,73251,[m]malignant melanoma in giant pigmented naevus,C43
BBEP.00,23085,[m]epithelioid cell melanoma,C43
BBEQ.00,44061,[m]spindle cell melanoma nos,C43
BBES.00,92293,"[m]spindle cell melanoma, type b",C69
BBET.00,40303,[m]mixed epithelioid and spindle melanoma,C80
BBEV.00,68447,"[m]blue naevus, malignant",C44
BBF1.00,8085,[m]sarcoma nos,C80
BBF2.00,34891,[m]sarcomatosis nos,C79
BBF3.00,31026,[m]spindle cell sarcoma,C49
BBF4.00,97463,[m]giant cell sarcoma (except of bone),C80
BBF4.11,46581,[m]pleomorphic cell sarcoma,C80
BBF5.00,58837,[m]small cell sarcoma,C49
BBF5.11,69844,[m]round cell sarcoma,C49
BBF6.00,62396,[m]epithelioid cell sarcoma,C80
BBG1.00,31323,[m]fibrosarcoma nos,C80
BBG3.00,8088,[m]fibromyxosarcoma,C80
BBG8.00,95024,[m]infantile fibrosarcoma,C49
BBG8.11,94286,[m]congenital fibrosarcoma,C80
BBGF.00,37680,"[m]fibrous histiocytoma, malignant",C80
BBGJ.00,96231,"[m]fibroxanthoma, malignant",C80
BBGJ.11,35034,[m]fibroxanthosarcoma,C80
BBGL.00,26881,[m]dermatofibroma protuberans,C44
BBGM.00,31772,[m]dermatofibrosarcoma nos,C44
BBGP.00,31090,[m]pigmented dermatofibrosarcoma protuberans,C80
BBH1.00,21732,[m]myxosarcoma,C80
BBJ1.00,28599,[m]liposarcoma nos,C49
BBJ1.11,101923,[m]fibroliposarcoma,C80
BBJ3.00,28628,"[m]liposarcoma, well differentiated type",C80
BBJ5.00,56676,[m]myxoid liposarcoma,C49
BBJ5.12,60127,[m]myxoliposarcoma,C80
BBJ6.00,103708,[m]round cell liposarcoma,C49
BBJ7.00,55947,[m]pleomorphic liposarcoma,C49
BBJ8.00,59651,[m]mixed type liposarcoma,C80
BBJH.00,7856,[m]dedifferentiated liposarcoma,C49
BBK0200,10588,[m]leiomyosarcoma nos,C80
BBK0400,73916,[m]epithelioid leiomyosarcoma,C80
BBK0700,64596,[m]myxoid leiomyosarcoma,C80
BBK1100,67019,[m]angiomyosarcoma,C80
BBK2100,55268,[m]myosarcoma,C80
BBK3100,31421,[m]rhabdomyosarcoma nos,C80
BBK3200,57505,[m]pleomorphic rhabdomyosarcoma,C80
BBK3300,105944,[m]mixed cell rhabdomyosarcoma,C49
BBK3600,48275,[m]embryonal rhabdomyosarcoma,C49
BBK3611,63247,[m]sarcoma botryoides,C80
BBK3700,42082,[m]alveolar rhabdomyosarcoma,C49
BBL0.00,34030,[m]endometrial stromal sarcoma,C54
BBL4.00,66607,"[m]mixed tumour, malignant, nos",C80
BBL5.00,21173,[m]mullerian mixed tumour,C54
BBL6.00,49811,[m]mesodermal mixed tumour,C80
BBL7100,21681,[m]nephroblastoma nos,C64
BBL7111,36870,[m]adenosarcoma,C80
BBL7112,17314,[m]wilms' tumour,C64
BBL7300,105862,[m]mesenchymal nephroblastoma,C64
BBL8.00,57677,[m]hepatoblastoma,C22
BBL8.11,106889,[m]embryonal hepatoma,C22
BBL9.00,19334,[m]carcinosarcoma nos,C80
BBLA.00,67934,"[m]carcinosarcoma, embryonal type",C80
BBLA.11,61082,[m]pneumoblastoma,C34
BBLC100,87003,"[m]mesenchymoma, malignant",C80
BBLD.00,98797,[m]embryonal sarcoma,C49
BBLE.00,63518,[m]adenosarcoma,C80
BBLG.00,37510,[m]carcinoma in pleomorphic adenoma,C08
BBLH.00,17212,[m]rhabdoid sarcoma,C80
BBLJ.00,18771,[m]clear cell sarcoma of kidney,C64
BBLM.00,48348,[m]pulmonary blastoma,C34
BBM0100,70383,"[m]brenner tumour, malignant",C56
BBM9.00,59251,"[m]cystosarcoma phyllodes, malignant",C50
BBN1.00,50379,[m]synovial sarcoma nos,C49
BBN2.00,105073,"[m]synovial sarcoma, spindle cell type",C49
BBN4.00,57796,"[m]synovial sarcoma, biphasic type",C49
BBN5.00,63286,[m]clear cell sarcoma of tendons and aponeuroses,C49
BBP1.00,27509,"[m]mesothelioma, malignant",C45
BBP3.11,104720,[m]sarcomatoid mesothelioma,C45
BBP5.00,47734,"[m]epithelioid mesothelioma, malignant",C45
BBP7.00,86820,"[m]mesothelioma, biphasic type, malignant",C45
BBPX.00,21770,"[m]mesothelioma, unspecified",C45
BBQ0.00,32191,[m]dysgerminoma,C56 C62
BBQ1.00,7476,[m]seminomas,C62
BBQ1000,57084,"[m]seminoma, anaplastic type",C62
BBQ1100,35223,[m]spermatocytic seminoma,C62
BBQ1z00,9859,[m]seminoma nos,C62
BBQ2.00,27971,[m]germinoma,C80
BBQ3.00,28941,[m]embryonal carcinoma nos,C80
BBQ4.00,37621,[m]endodermal sinus tumour,C56 C62
BBQ4.12,55658,[m]orchioblastoma,C62
BBQ4.14,20350,[m]yolk sac tumour,C57 C63
BBQ5.00,102356,[m]polyembryoma,C80
BBQ7200,33636,"[m]teratoma, malignant, nos",C80
BBQ7211,57087,[m]embryonal teratoma,C80
BBQ7212,43865,[m]immature teratoma,C80
BBQ7213,52493,"[m]teratoblastoma, malignant",C80
BBQ7300,37542,[m]teratocarcinoma,C80
BBQ7400,61542,"[m]malignant teratoma, undifferentiated type",C80
BBQ7500,21682,"[m]malignant teratoma, intermediate type",C80
BBQ9.00,65861,[m]dermoid cyst with malignant transformation,C80
BBQA100,71301,"[m]struma ovarii, malignant",C56
BBQB.00,35071,[m]mixed germ cell tumour,C80
BBR2.00,67712,[m]choriocarcinoma,C58
BBR3.00,54627,[m]choriocarcinoma combined with teratoma,C80
BBR4.00,29945,"[m]malignant teratoma, trophoblastic",C62
BBT1.00,62348,[m]haemangiosarcoma,C80
BBT1.11,22650,[m]angiosarcoma,C80
BBT7100,98322,"[m]haemangioendothelioma, malignant",C80
BBTA.00,27439,[m]kaposi's sarcoma,C46
BBTD200,105296,"[m]haemangiopericytoma, malignant",C80
BBTK.00,38481,"[m]epithelioid haemangioendothelioma, malignant",C80
BBU1.00,57729,[m]lymphangiosarcoma,C80
BBV..11,99665,[m]juxtacortical osteogenic sarcoma,C40 C41
BBV..12,63571,[m]parosteal osteosarcoma,C40 C41
BBV..13,105275,[m]periosteal osteogenic sarcoma,C80
BBV1.00,8660,[m]osteosarcoma nos,C40 C41
BBV1.11,49862,[m]osteoblastic sarcoma,C40 C41
BBV1.12,59310,[m]osteochondrosarcoma,C40 C41
BBV1.13,5052,[m]osteogenic sarcoma nos,C40 C41
BBV2.00,24539,[m]chondroblastic osteosarcoma,C40 C41
BBV3.00,21447,[m]fibroblastic osteosarcoma,C40 C41
BBV4.00,22561,[m]telangiectatic osteosarcoma,C40 C41
BBV5.00,60631,[m]osteosarcoma in paget's disease of bone,C40 C41
BBV9.00,4118,[m]myxoid chondrosarcoma,C41
BBVA.00,29337,[m] small cell osteosarcoma,C40 C41
BBW4.00,7941,[m]chondrosarcoma nos,C40 C41
BBW4.11,68220,[m]fibrochondrosarcoma,C40 C41
BBW6.00,63659,[m]juxtacortical chondrosarcoma,C40 C41
BBW8.00,98559,"[m]chondroblastoma, malignant",C40 C41
BBW9.00,52684,[m]mesenchymal chondrosarcoma,C80
BBX1.00,68956,"[m]giant cell tumour of bone, malignant",C40 C41
BBX1.11,50859,[m]giant cell bone sarcoma,C40 C41
BBX1.12,31673,"[m]osteoclastoma, malignant",C40 C41
BBX3.00,99797,[m]malignant giant cell tumour of soft parts,C80
BBY0.00,4473,[m]ewing's sarcoma,C40 C41
BBY0.11,49023,[m]endothelial bone sarcoma,C40 C41
BBY1.00,38593,[m]adamantinoma of long bones,C40
BBY1.11,67430,[m]tibial adamantinoma,C40
BBZ2.00,72443,"[m]odontogenic tumour, malignant",C41
BBZ2.11,93175,[m]intraosseous carcinoma,C40 C41
BBZC.00,46741,[m]ameloblastic odontosarcoma,C41
BBZG.00,97593,"[m]ameloblastoma, malignant",C41
BBZG.11,100267,"[m]adamantinoma, malignant",C40 C41
BBZN.00,68730,[m]ameloblastic fibrosarcoma,C41
BBZN.11,98483,[m]odontogenic fibrosarcoma,C41
BBa3.00,50151,[m]pineoblastoma,C75
BBa5.00,21758,[m]chordoma,C80
BBb..00,12309,[m]gliomas,C71
BBb0.00,31574,"[m]glioma, malignant",C71
BBb0.11,8523,[m]glioma nos,C71
BBb0.12,34252,[m]gliosarcoma,C71
BBb1.00,38551,[m]gliomatosis cerebri,C71
BBb2.00,68808,[m]mixed glioma,C71
BBb2.11,39386,[m]mixed glioma,C71
BBb7.00,20084,[m]ependymoma nos,C71
BBb8.00,52751,"[m]ependymoma, anaplastic type",C71
BBb8.11,46769,[m]ependymoblastoma,C71
BBbB.00,8547,[m]astrocytoma nos,C71
BBbB.11,27748,[m]astrocytic glioma,C71
BBbC.00,8328,"[m]astrocytoma, anaplastic type",C71
BBbE.00,45531,[m]gemistocytic astrocytoma,C71
BBbF.00,27846,[m]fibrillary astrocytoma,C71
BBbG.00,30273,[m]pilocytic astrocytoma,C71
BBbG.11,61783,[m]juvenile astrocytoma,C71
BBbG.12,98800,[m]piloid astrocytoma,C71
BBbH.00,103047,[m]spongioblastoma nos,C71
BBbK.00,50235,[m]astroblastoma,C71
BBbL.00,23083,[m]glioblastoma nos,C71
BBbL.11,9575,[m]glioblastoma multiforme,C71
BBbM.00,66064,[m]giant cell glioblastoma,C71
BBbQ.00,27744,[m]oligodendroglioma nos,C71
BBbR.00,49186,"[m]oligodendroglioma, anaplastic type",C37
BBbS.00,46404,[m]oligodendroblastoma,C71
BBbT.00,34763,[m]medulloblastoma nos,C71
BBbU.00,65952,[m]desmoplastic medulloblastoma,C71
BBbV.00,31767,[m]medullomyoblastoma,C71
BBbW.00,37473,[m]cerebellar sarcoma nos,C71
BBbZ.00,67587,[m]pleomorphic xanthoastrocytoma,C71
BBba.00,41695,[m]primitive neuroectodermal tumour,C71
BBba000,107884,[m]peripheral neuroectodermal tumour,C41
BBbz.00,27653,[m]glioma nos,C71
BBc..00,54284,[m]neuroepitheliomatous neoplasms,C80
BBc0100,39121,[m]ganglioneuroblastoma,C80
BBc1.00,2123,[m]neuroblastoma nos,C74
BBc2.00,67288,[m]medulloepithelioma nos,C80
BBc3.00,107681,[m]teratoid medulloepithelioma,C80
BBc4.00,97961,[m]neuroepithelioma nos,C80
BBc9.00,28836,[m]retinoblastomas,C69
BBc9100,103883,"[m]retinoblastoma, undifferentiated type",C69
BBc9z00,48952,[m]retinoblastoma nos,C69
BBcA.00,58902,[m]olfactory neurogenic tumour,C80
BBcC.00,51878,[m]aesthesioneuroblastoma,C30
BBcC.11,39388,[m]olfactory neuroblastoma,C30
BBcD.11,106131,[m]olfactory neuroepithelioma,C30
BBcz.00,99491,[m]neuroepitheliomatous neoplasm nos,C80
BBd2.00,27363,"[m]meningioma, malignant",C70
BBd2.11,60347,[m]leptomeningeal sarcoma,C70
BBd2.12,96798,[m]meningothelial sarcoma,C70
BBdB.00,106134,[m]meningeal sarcomatosis,C70
BBe2.00,62941,[m]neurofibrosarcoma,C80
BBe7.00,69981,"[m]neurilemmoma, malignant",C72
BBe7.11,37477,"[m]schwannoma, malignant",C80
BBe9.00,40492,"[m]triton tumour, malignant",C80
BBf2.00,71869,[m]alveolar soft part sarcoma,C49
BBg..00,17178,"[m]lymphomas, nos or diffuse",C85
BBg1.00,36114,[m]malignant lymphoma nos,C85
BBg1.11,1483,[m]lymphoma nos,C85
BBg1000,23711,"[m]malignant lymphoma, diffuse nos",C83
BBg2.00,16460,"[m]malignant lymphoma, non hodgkin's type",C85
BBg2.11,3371,[m]non hodgkins lymphoma,C85
BBg3.00,71117,"[m]malignant lymphoma, undifferentiated cell type nos",C85
BBg4.00,46931,"[m]malignant lymphoma, stem cell type",C85
BBg5.00,69301,"[m]malignant lymphoma, convoluted cell type nos",C85
BBg6.00,99655,[m]lymphosarcoma nos,C85
BBg7.00,41754,"[m]malignant lymphoma, lymphoplasmacytoid type",C83
BBg8.00,48253,"[m]malignant lymphoma, immunoblastic type",C83
BBgA.00,68964,"[m]malignant lymphoma, centroblastic-centrocytic, diffuse",C83
BBgB.00,41841,"[m]malignant lymphoma, follicular centre cell nos",C82
BBgC.00,69980,"[m]malignant lymphoma, lymphocytic, well differentiated nos",C85
BBgC.11,21463,[m]lymphocytic lymphoma nos,C85
BBgC.12,60504,[m]lymphocytic lymphosarcoma nos,C85
BBgD.00,51852,"[m]malig lymphoma, lymphocytic, intermediate different nos",C85
BBgE.00,39906,"[m]malignant lymphoma, centrocytic",C83
BBgG.00,72196,"[m]malignant lymphoma, lymphocytic, poorly different nos",C85
BBgG.11,67203,[m]lymphoblastic lymphosarcoma nos,C83
BBgG.12,34352,[m]lymphoblastic lymphoma nos,C83
BBgG.13,52591,[m]lymphoblastoma nos,C83
BBgH.00,72241,[m]prolymphocytic lymphosarcoma,C83
BBgJ.00,60275,"[m]malignant lymphoma, centroblastic type nos",C85
BBgJ.11,108682,[m]germinoblastic sarcoma nos,C96
BBgK.00,66603,"[m]malig lymphoma, follicular centre cell, non-cleaved nos",C82
BBgL.00,46877,"[m]malignant lymphoma, small lymphocytic nos",C83
BBgM.00,31726,"[m]malignant lymphoma, small cleaved cell, diffuse",C83
BBgN.00,61251,"[m]malign lymphoma,lymphocytic,intermediate differn, diffuse",C83
BBgP.00,71652,"[m]malignant lymphoma, mixed small and large cell, diffuse",C83
BBgQ.00,58015,[m]malignant lymphomatous polyposis,C83
BBgR.00,33869,"[m]malignant lymphoma, large cell, diffuse nos",C83
BBgS.00,63994,"[m]malignant lymphoma, large cell, cleaved, diffuse",C83
BBgT.00,71619,"[m]malignant lymphoma, large cell, noncleaved, diffuse",C83
BBgV.00,51680,"[m]malignant lymphoma, small cell, noncleaved, diffuse",C83
BBgz.00,51895,"[m]lymphoma, diffuse or nos",C85
BBh..00,106137,[m]reticulosarcomas,C83
BBh0.00,72433,[m]reticulosarcoma nos,C83
BBh0.11,49825,[m]reticulum cell sarcoma nos,C83
BBh2.00,100544,"[m]reticulosarcoma, nodular",C85
BBj..00,20710,[m]hodgkin's disease,C81
BBj0.00,61997,[m]hodgkin's disease nos,C81
BBj0.11,101429,"[m]lymphogranuloma, malignant",C81
BBj1.00,56041,"[m]hodgkin's disease, lymphocytic predominance",C81
BBj1000,65584,"[m]hodgkin,s disease, lymphocytic predominance, diffuse",C81
BBj1100,31537,"[m]hodgkin,s disease, lymphocytic predominance, nodular",C81
BBj2.00,51285,"[m]hodgkin's disease, mixed cellularity",C81
BBj3.00,111113,"[m]hodgkin's disease, lymphocytic depletion nos",C81
BBj4.00,96183,"[m]hodgkin's disease,lymphocytic depletion,diffuse fibrosis",C81
BBj6.00,42198,"[m]hodgkin's disease, nodular sclerosis nos",C81
BBj6000,40508,"[m]hodgkin,s disease, nodular sclerosis, lymphocytic predom",C81
BBj6100,64343,"[m]hodgkin,s disease, nodular sclerosis, mixed cellularity",C81
BBj6200,31741,"[m]hodgkin,s disease, nodular sclerosis, lymphocytic deplet",C81
BBj7.00,99200,"[m]hodgkin's disease, nodular sclerosis, cellular phase",C81
BBj9.00,89230,[m]hodgkin's granuloma,C81
BBjz.00,42769,[m]hodgkin's disease nos,C81
BBk..00,20437,"[m]lymphomas, nodular or follicular",C82
BBk0.00,63699,"[m]malignant lymphoma, nodular nos",C82
BBk0.11,64947,[m]brill - symmers' disease,C82
BBk0.12,27562,[m]follicular lymphosarcoma nos,C82
BBk0.13,49253,[m]giant follicular lymphoma,C82
BBk2.00,98961,"[m]malignant lymphoma, centroblastic-centrocytic, follicular",C82
BBk3.00,106970,"[m]malig lymphoma, lymphocytic, well differentiated,nodular",C82
BBk5.00,39883,"[m]malig lymp, follicular centre cell, cleaved, follicular",C82
BBk7.00,97852,"[m]malignant lymphoma, centroblastic type, follicular",C82
BBk8.00,58953,"[m]malig lymp,follicular centre cell,noncleaved,follicular",C82
BBkz.00,40513,"[m]lymphoma, nodular or follicular nos",C82
BBl..00,46967,[m]mycosis fungoides,C84
BBl0.00,95464,[m]mycosis fungoides,C84
BBl1.00,97756,[m]sezary's disease,C84
BBlz.00,99695,[m]mycosis fungoides nos,C84
BBm0.00,63973,[m]microglioma,C85
BBm1.00,63239,[m]malignant histiocytosis,C96
BBm1.11,70740,[m]malignant reticulosis,C85
BBm2.00,47330,[m]histiocytic medullary reticulosis,C96
BBm3.00,59593,[m]letterer - siwe disease,C96
BBm3.12,45768,[m]acute progressive histiocytosis x,C96
BBm4.00,57544,[m]true histiocytic lymphoma,C96
BBm5.00,40766,[m] peripheral t-cell lymphoma nos,C84
BBm6.00,26135,[m] alpha heavy chain disease,C88
BBm9.00,31492,[m] monocytoid b-cell lymphoma,C85
BBmD.00,16774,[m] cutaneous lymphoma,C84
BBmE.00,52593,[m] gamma heavy chain disease,C88
BBmH.00,18383,[m] large cell lymphoma,C83
BBmJ.00,68353,[m] angioendotheliomatosis,C85
BBmK.00,9172,[m]waldenstrom's macroglobulinaemia,C88
BBn0.00,31671,[m]plasma cell myeloma,C90
BBn0.11,18744,[m]multiple myeloma,C90
BBn0.12,3672,[m]myeloma nos,C90
BBn0.13,53647,[m]myelomatosis,C90
BBn0.14,39490,[m]plasmacytic myeloma,C90
BBn2.00,63864,[m]plasmacytoma nos,C90
BBn2.11,102164,[m]monostotic myeloma,C90
BBn2.12,73135,[m]solitary myeloma,C90
BBn3.00,99702,"[m]plasma cell tumour, malignant",C90
BBp1.00,94239,[m]mast cell sarcoma,C96
BBp2.00,67339,[m]malignant mastocytosis,C96
BBr..00,4637,[m]leukaemias,C95
BBr0.00,40420,[m]leukaemias unspecified,C95
BBr0000,41734,[m]leukaemia nos,C95
BBr0100,6316,[m]acute leukaemia nos,C95
BBr0111,22071,[m]blast cell leukaemia,C95
BBr0112,64963,[m]blastic leukaemia,C95
BBr0113,63570,[m]stem cell leukaemia,C95
BBr0200,72179,[m]subacute leukaemia nos,C95
BBr0300,31750,[m]chronic leukaemia nos,C95
BBr0400,72310,[m]aleukaemic leukaemia nos,C95
BBr0z00,59929,"[m]leukaemia unspecified, nos",C95
BBr2.00,48155,[m]lymphoid leukaemias,C91
BBr2000,12146,[m]lymphoid leukaemia nos,C91
BBr2011,20635,[m]lymphatic leukaemia,C91
BBr2100,37410,[m]acute lymphoid leukaemia,C91
BBr2300,41500,[m]chronic lymphoid leukaemia,C91
BBr2500,46048,[m]prolymphocytic leukaemia,C91
BBr2600,50928,[m]burkitt's cell leukaemia,C91
BBr2700,29335,[m]adult t-cell leukaemia/lymphoma,C91
BBr3.00,64618,[m]plasma cell leukaemias,C90
BBr3z00,110349,[m]plasma cell leukaemia nos,C90
BBr4.00,46444,[m]erythroleukaemias,C94
BBr4000,70935,[m]erythroleukaemia,C94
BBr4z00,100927,[m]erythroleukaemia nos,C94
BBr6.00,35697,[m]myeloid leukaemias,C92
BBr6000,71850,[m]myeloid leukaemia nos,C92
BBr6011,37723,[m]granulocytic leukaemia nos,C92
BBr6012,24317,[m]myelosis nos,C95
BBr6100,54585,[m]acute myeloid leukaemia,C92
BBr6200,106483,[m]subacute myeloid leukaemia,C92
BBr6300,52942,[m]chronic myeloid leukaemia,C92
BBr6311,66694,[m]naegeli-type monocytic leukaemia,C93
BBr6600,57316,[m]acute promyelocytic leukaemia,C92
BBr6700,46263,[m]acute myelomonocytic leukaemia,C92
BBr6800,48049,[m]chronic myelomonocytic leukaemia,C92
BBr6900,108964,[m]juvenile myelomonocytic leukaemia,C93
BBr6z00,62330,[m]other myeloid leukaemia nos,C92
BBr7000,106197,[m]basophilic leukaemia,C92
BBr8.00,57713,[m]eosinophilic leukaemias,C95
BBr8000,71377,[m]eosinophilic leukaemia,C92
BBr8z00,107773,[m]eosinophilic leukaemia nos,C92
BBr9000,73088,[m]monocytic leukaemia nos,C93
BBrA.00,73066,[m]miscellaneous leukaemias,C95
BBrA100,72222,[m]megakaryocytic leukaemia,C94
BBrA111,69299,[m]thrombocytic leukaemia,C94
BBrA300,96893,[m]myeloid sarcoma,C92
BBrA311,93944,[m]chloroma,C92
BBrA312,98009,[m]granulocytic sarcoma,C92
BBrA400,5915,[m]hairy cell leukaemia,C91
BBrA500,49327,[m]acute megakaryoblastic leukaemia,C94
BBrA600,102764,[m]acute panmyelosis,C94
BBrA700,37487,[m]acute myelofibrosis,C94
BBrAz00,108316,[m]miscellaneous leukaemia nos,C95
BBrz.00,42297,[m]leukaemia nos,C95
BBs1.00,101271,[m]acute panmyelosis,C94
BBv0.00,31749,[m]monocytoid b-cell lymphoma,C85
BBv2.00,27965,[m]angiocentrict-cell lymphoma,C85
BBz0.00,107281,[m]neuroendocrine neoplasm,C80
Byu0.00,58973,"[x]malignant neoplasm of lip, oral cavity and pharynx",C14
Byu1.00,35180,[x]malignant neoplasm of digestive organs,C26
Byu1100,43490,[x]other specified carcinomas of liver,C22
Byu1200,45766,"[x]malignant neoplasm of intestinal tract, part unspecified",C26
Byu1300,49292,[x]malignant neoplsm/ill-defin sites within digestive system,C26
Byu2.00,35325,[x]malignant neoplasm of respiratory and intrathoracic orga,C39
Byu2000,40595,"[x]malignant neoplasm of bronchus or lung, unspecified",C34
Byu2100,66444,"[x]malignant neoplasm/overlap lesion/heart,mediastinm+pleura",C38
